strategy,window,trade_no,true_alpha,q25_alpha_estimate,median_alpha_estimate,q75_alpha_estimate,median_spread
full-history,0,130,0.40000000000000002,0.092336961116382982,0.11857192553738335,0.17207331866535211,0.47878930136145925
full-history,0,131,0.40000000000000002,0.088822912435834095,0.123332357042488,0.17842245444839117,0.41849496744937653
full-history,0,132,0.40000000000000002,0.091550206227451428,0.12829593661618732,0.18480292823449915,0.36374349097073377
full-history,0,133,0.40000000000000002,0.094524528500873867,0.13344928162018385,0.17553662291850697,0.31440712612572952
full-history,0,134,0.40000000000000002,0.090790809691231628,0.12654942592385696,0.18181696205519424,0.36627900753498466
full-history,0,135,0.40000000000000002,0.093686142169919134,0.1315826810727255,0.18811331331107584,0.31704967936402539
full-history,0,136,0.40000000000000002,0.096815464472419885,0.13679128470442009,0.19440433422113187,0.27295970810156689
full-history,0,137,0.40000000000000002,0.092876733836267877,0.12978088133224258,0.18512706922195232,0.31959653057467108
full-history,0,138,0.40000000000000002,0.095924635067674346,0.13487293635185263,0.19133308030039611,0.27555675718558348
full-history,0,139,0.40000000000000002,0.099195106895531585,0.14012604857626931,0.19752120407380136,0.2363356174729887
full-history,0,140,0.40000000000000002,0.095064340486373244,0.1330194265347634,0.18835092238781431,0.27806663095169881
full-history,0,141,0.40000000000000002,0.098251467314849017,0.13815989415266389,0.19446125962798791,0.23884925904282284
full-history,0,142,0.40000000000000002,0.10165109638642988,0.14344719752288446,0.2005424811580081,0.20410424828044427
full-history,0,143,0.40000000000000002,0.097339838525900127,0.136258383726338,0.19148715266391467,0.24128468472052589
full-history,0,144,0.40000000000000002,0.1006546551811652,0.14143725979614033,0.1974973367197074,0.20650629752030625
full-history,0,145,0.40000000000000002,0.10417298863457188,0.14674880225574938,0.20346847955200417,0.17584348884581402
full-history,0,146,0.40000000000000002,0.099691605374847572,0.14583373539917024,0.20938583533711344,0.17890437413291238
full-history,0,147,0.40000000000000002,0.10312407735242302,0.14469915174247497,0.20044122348635263,0.1781139946675836
full-history,0,148,0.40000000000000002,0.10675190444829247,0.15002531101827354,0.206299894810335,0.15114842582988786
full-history,0,149,0.40000000000000002,0.1021098310109553,0.15545260137018241,0.21209777637194599,0.12761857728077075
full-history,0,150,0.40000000000000002,0.10565113781849407,0.14794003358909369,0.20329322949166048,0.15327431089646382
full-history,0,151,0.40000000000000002,0.10938021867487503,0.15327150695147695,0.20903777149418326,0.12963713395870968
full-history,0,152,0.40000000000000002,0.10458619317794061,0.1586899143918564,0.21471568680705086,0.1090980397671899
full-history,0,153,0.40000000000000002,0.10822846467536142,0.16417700979376321,0.22031748393739303,0.091351387796933636
full-history,0,154,0.40000000000000002,0.11205128832123254,0.15648248574716186,0.21168347016832087,0.11095418800454127
full-history,0,155,0.40000000000000002,0.11604957456539158,0.16188335406947715,0.21724153415548894,0.093077150370760364
full-history,0,156,0.40000000000000002,0.11084964556135783,0.15433811629185218,0.22272019623021594,0.11277312910814175
full-history,0,157,0.40000000000000002,0.11475921927958906,0.15965364833202042,0.21423863396685291,0.094772439830663302
full-history,0,158,0.40000000000000002,0.11883670555157835,0.16502875664330821,0.21967750854541521,0.079254700144787193
full-history,0,159,0.40000000000000002,0.11350899950614769,0.17044576078031531,0.22503460052167834,0.065950698741886526
full-history,0,160,0.40000000000000002,0.11749867021644729,0.16278070403705222,0.23030496156418545,0.080793509259123653
full-history,0,161,0.40000000000000002,0.12164856506858419,0.16812230179747586,0.22202598905190732,0.067358534375827617
full-history,0,162,0.40000000000000002,0.11620138410400591,0.17349332009521604,0.22726347131087654,0.055883069554582221
full-history,0,163,0.40000000000000002,0.12026469149761515,0.16585968039868801,0.23241376496213673,0.068747350357327264
full-history,0,164,0.40000000000000002,0.12448029299822444,0.1711605231799862,0.22428951105540834,0.057144364246795476
full-history,0,165,0.40000000000000002,0.11892203621462806,0.17647902390808332,0.22940968111574206,0.047269705417960495
full-history,0,166,0.40000000000000002,0.12305259652245124,0.18179938932654002,0.23444280497266512,0.038911623322611888
full-history,0,167,0.40000000000000002,0.12732720685940219,0.17414031945898814,0.23938732367844304,0.048394171142305709
full-history,0,168,0.40000000000000002,0.1216664438707462,0.17940037338724829,0.23147617203272164,0.039916497149320662
full-history,0,169,0.40000000000000002,0.12585786251681211,0.17825572821430608,0.2363952198237389,0.041136996717639818
full-history,0,170,0.40000000000000002,0.13018472993385696,0.17705896399131815,0.24122704689280042,0.040914369730728595
full-history,0,171,0.40000000000000002,0.13463706040279799,0.18225526196044964,0.23346592943867245,0.033652149920897045
full-history,0,172,0.40000000000000002,0.12867605765931614,0.18743430822867546,0.23827414398069122,0.027547861733765444
full-history,0,173,0.40000000000000002,0.13304834295389301,0.17991411171305438,0.24299684822715656,0.034533852752275607
full-history,0,174,0.40000000000000002,0.13753633691542802,0.18504197487174767,0.24763467731000513,0.028326126409311314
full-history,0,175,0.40000000000000002,0.13150279135724538,0.19014440677393524,0.24008268832033064,0.023125713226363587
full-history,0,176,0.40000000000000002,0.13591355598470278,0.18270380232944303,0.24469987767492382,0.029102006478737508
full-history,0,177,0.40000000000000002,0.14042997489306974,0.18775918460215685,0.24923455843498851,0.023806633700374391
full-history,0,178,0.40000000000000002,0.13433368451642544,0.19278188415215763,0.25368835358419056,0.019385094163581584
full-history,0,179,0.40000000000000002,0.13877589725247444,0.18542645928190427,0.24633921214477703,0.02448675954759949
full-history,0,180,0.40000000000000002,0.14331346383718419,0.19040594205073261,0.25077447648745232,0.019978695693694704
full-history,0,181,0.40000000000000002,0.13716435673886998,0.19534640941821282,0.25513155766971896,0.016226627173793418
full-history,0,182,0.40000000000000002,0.14163091583095905,0.20023894671008624,0.24791784453013424,0.013119950616342635
full-history,0,183,0.40000000000000002,0.14618235092499815,0.19298166362908237,0.25225735819557188,0.016742337734612533
full-history,0,184,0.40000000000000002,0.13999042751427457,0.19783799268542746,0.25652140208648871,0.013564311533286855
full-history,0,185,0.40000000000000002,0.14447419529081035,0.20264211685920888,0.24943867482131202,0.010940991532109479
full-history,0,186,0.40000000000000002,0.14903226359388216,0.19548611461506016,0.25368601939342017,0.014010899085860729
full-history,0,187,0.40000000000000002,0.15365101755859992,0.20025696290504977,0.25786058761270692,0.01132394104590162
full-history,0,188,0.40000000000000002,0.14730137562949414,0.20497215299645075,0.26196474197169345,0.0091125880892022337
full-history,0,189,0.40000000000000002,0.15185893751225801,0.20962636454638234,0.2660010366694095,0.0073017140608016007
full-history,0,190,0.40000000000000002,0.15646654459614048,0.20260394334527976,0.25915169081971501,0.0094416651642319493
full-history,0,191,0.40000000000000002,0.15010818102960599,0.20723015464571276,0.26317246575532027,0.0075806774418651912
full-history,0,192,0.40000000000000002,0.15465824769735606,0.21179368041758598,0.26712801463153318,0.0060609948896228616
full-history,0,193,0.40000000000000002,0.1592479463499126,0.21629131344123215,0.26039716429145793,0.0048259948908366823
full-history,0,194,0.40000000000000002,0.16112047376712021,0.2094174462708456,0.26433777011205489,0.006299059267831808
